,model,architecture,num_param,accuracy,precision,recall
153,attack-1-a6-conv-11.pth,a6,2872,0.485,0.4578313253012048,0.3958333333333333
154,attack-1-a6-conv-12.pth,a6,2872,0.495,0.47058823529411764,0.4166666666666667
155,attack-1-a6-conv-13.pth,a6,2872,0.485,0.46153846153846156,0.4375
156,attack-1-a6-conv-14.pth,a6,2872,0.48,0.45348837209302323,0.40625
157,attack-1-a6-conv-15.pth,a6,2872,0.505,0.4827586206896552,0.4375
158,attack-1-a6-conv-16.pth,a6,2872,0.49,0.4605263157894737,0.3645833333333333
159,attack-1-a6-conv-17.pth,a6,2872,0.485,0.4588235294117647,0.40625
160,attack-1-a6-conv-18.pth,a6,2872,0.475,0.4470588235294118,0.3958333333333333
161,attack-1-a6-conv-19.pth,a6,2872,0.47,0.43243243243243246,0.3333333333333333
162,attack-1-a6-conv-2.pth,a6,2872,0.505,0.48148148148148145,0.40625
163,attack-1-a6-conv-20.pth,a6,2872,0.5,0.4791666666666667,0.4791666666666667
164,attack-1-a6-conv-21.pth,a6,2872,0.465,0.4266666666666667,0.3333333333333333
165,attack-1-a6-conv-22.pth,a6,2872,0.46,0.43333333333333335,0.40625
166,attack-1-a6-conv-23.pth,a6,2872,0.505,0.4805194805194805,0.3854166666666667
167,attack-1-a6-conv-24.pth,a6,2872,0.46,0.4375,0.4375
168,attack-1-a6-conv-25.pth,a6,2872,0.485,0.4606741573033708,0.4270833333333333
169,attack-1-a6-conv-26.pth,a6,2872,0.495,0.47191011235955055,0.4375
170,attack-1-a6-conv-27.pth,a6,2872,0.475,0.4457831325301205,0.3854166666666667
171,attack-1-a6-conv-28.pth,a6,2872,0.49,0.46808510638297873,0.4583333333333333
172,attack-1-a6-conv-29.pth,a6,2872,0.505,0.4788732394366197,0.3541666666666667
173,attack-1-a6-conv-3.pth,a6,2872,0.495,0.46835443037974683,0.3854166666666667
174,attack-1-a6-conv-4.pth,a6,2872,0.505,0.4827586206896552,0.4375
